nohup: ignoring input
Starting fetch run for 91 points across 860 dates hours=48, 
REQUEST completed point=60 date=2024-01-10 hour=00 attempt=1 status=200 duration=22.646s rate=2.65/min response_bytes=54525
REQUEST completed point=68 date=2024-01-10 hour=00 attempt=1 status=200 duration=22.640s rate=2.65/min response_bytes=54918
REQUEST completed point=72 date=2024-01-10 hour=00 attempt=1 status=200 duration=9.307s rate=6.45/min response_bytes=55407
REQUEST completed point=66 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.018s rate=1.87/min response_bytes=55208
REQUEST completed point=70 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.018s rate=1.87/min response_bytes=54957
REQUEST completed point=67 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.019s rate=1.87/min response_bytes=55105
REQUEST completed point=63 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.025s rate=1.87/min response_bytes=55202
REQUEST completed point=62 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.026s rate=1.87/min response_bytes=55154
REQUEST completed point=69 date=2024-01-10 hour=00 attempt=1 status=200 duration=32.017s rate=1.87/min response_bytes=54714
REQUEST completed point=73 date=2024-01-10 hour=00 attempt=1 status=200 duration=18.115s rate=3.31/min response_bytes=54409
REQUEST completed point=74 date=2024-01-10 hour=00 attempt=1 status=200 duration=8.821s rate=6.80/min response_bytes=55215
REQUEST completed point=59 date=2024-01-10 hour=00 attempt=1 status=200 duration=40.800s rate=1.47/min response_bytes=55178
REQUEST completed point=64 date=2024-01-10 hour=00 attempt=1 status=200 duration=40.802s rate=1.47/min response_bytes=55147
REQUEST completed point=71 date=2024-01-10 hour=00 attempt=1 status=200 duration=40.790s rate=1.47/min response_bytes=54794
REQUEST completed point=65 date=2024-01-10 hour=00 attempt=1 status=200 duration=40.802s rate=1.47/min response_bytes=55210
REQUEST completed point=81 date=2024-01-10 hour=00 attempt=1 status=200 duration=8.528s rate=7.04/min response_bytes=54648
REQUEST completed point=75 date=2024-01-10 hour=00 attempt=1 status=200 duration=17.354s rate=3.46/min response_bytes=54437
REQUEST completed point=82 date=2024-01-10 hour=00 attempt=1 status=200 duration=17.081s rate=3.51/min response_bytes=55124
REQUEST completed point=83 date=2024-01-10 hour=00 attempt=1 status=200 duration=17.057s rate=3.52/min response_bytes=54714
REQUEST completed point=87 date=2024-01-10 hour=00 attempt=1 status=200 duration=8.661s rate=6.93/min response_bytes=55740
REQUEST completed point=91 date=2024-01-10 hour=00 attempt=1 status=200 duration=8.603s rate=6.97/min response_bytes=55749
REQUEST completed point=84 date=2024-01-10 hour=00 attempt=1 status=200 duration=33.008s rate=1.82/min response_bytes=54436
Progress: processed=900/78260 completed=22 failed=0 skipped=878 rate=17.24/min eta=74:45:56
REQUEST completed point=85 date=2024-01-10 hour=00 attempt=1 status=200 duration=33.004s rate=1.82/min response_bytes=55402
REQUEST completed point=86 date=2024-01-10 hour=00 attempt=1 status=200 duration=33.007s rate=1.82/min response_bytes=54791
